cert_hash,region,proposed_ms,received_ms,voted_ms,committed_ms
af9d65e45efbccdd7cf69a65be47eec3b25267eea4747ea3f76aed03fb5aa1a1,eu-west-1,,1778640779303,1778640774292,
af9d65e45efbccdd7cf69a65be47eec3b25267eea4747ea3f76aed03fb5aa1a1,sa-east-1,1778640779038,,,
af9d65e45efbccdd7cf69a65be47eec3b25267eea4747ea3f76aed03fb5aa1a1,us-east-1,,1778640779205,1778640774194,
af9d65e45efbccdd7cf69a65be47eec3b25267eea4747ea3f76aed03fb5aa1a1,us-west-2,,1778640779297,1778640774285,
d6e923d8e100d36a45806a796edcd1e65a3defada2a08d7e1d51e30c974a4f97,ap-northeast-1,,1778640780296,1778640775281,
d6e923d8e100d36a45806a796edcd1e65a3defada2a08d7e1d51e30c974a4f97,ap-southeast-2,1778640780109,,,
d6e923d8e100d36a45806a796edcd1e65a3defada2a08d7e1d51e30c974a4f97,eu-west-1,,1778640780492,1778640775473,
d6e923d8e100d36a45806a796edcd1e65a3defada2a08d7e1d51e30c974a4f97,sa-east-1,,1778640780572,1778640780572,
d6e923d8e100d36a45806a796edcd1e65a3defada2a08d7e1d51e30c974a4f97,us-east-1,,1778640780407,1778640775390,
d6e923d8e100d36a45806a796edcd1e65a3defada2a08d7e1d51e30c974a4f97,us-west-2,,1778640780318,1778640775303,
f3b4b9b38d5317102a4ec5cf528cccf09d3f3a004d5ca8fa1b266d46e229d191,ap-northeast-1,,1778640777657,,
f3b4b9b38d5317102a4ec5cf528cccf09d3f3a004d5ca8fa1b266d46e229d191,ap-southeast-2,1778640777594,,,
f3b4b9b38d5317102a4ec5cf528cccf09d3f3a004d5ca8fa1b266d46e229d191,eu-west-1,,1778640777720,,
f3b4b9b38d5317102a4ec5cf528cccf09d3f3a004d5ca8fa1b266d46e229d191,sa-east-1,,1778640777748,,
f3b4b9b38d5317102a4ec5cf528cccf09d3f3a004d5ca8fa1b266d46e229d191,us-east-1,,1778640777694,1778640777694,
f3b4b9b38d5317102a4ec5cf528cccf09d3f3a004d5ca8fa1b266d46e229d191,us-west-2,,1778640777664,1778640777664,
